,"wiki.url","wiki.summary","img_url","img_fn","img_status","img_list",
"Alfredton","https://en.wikipedia.org/wiki/Alfredton,_Victoria","Alfredton is a suburb of Ballarat, Victoria, Australia, west of the CBD. The population at the 2011 census was 7,195 making it the fourth most populated in the Ballarat urban area.
Alfredton is located west of Lake Wendouree along Sturt Street. The suburb has some of Ballarat's best known landmarks including the Arch of Victory, a World War I memorial which once marked the entrance to Ballarat and the start of Ballarat's Avenue of Honour, the longest war memorial roadside plantation in Australia, which extends 18 km to the Western Freeway.
Originally part of Cardigan and known by that name, the present area was named in honour of Prince Alfred, Duke of Edinburgh following his visit to Ballarat in 1867.
The Alfredton area is central to Western Ballarat's growth corridor, an area where suburban development is encouraged by the City of Ballarat and State Government of Victoria. Most of urban Ballarat's subdivision for new housing estates is happening in Greenfield land to the south, north and west of the Avenue of Honour. Large estates include The Chase and Insignia.","https://upload.wikimedia.org/wikipedia/commons/1/18/Arch_of_victory_alfredton_victoria.jpg","Alfredton.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/1/18/Arch_of_victory_alfredton_victoria.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3f/Australia_Victoria_Ballarat_City_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/84/Eureka_Flag.svg']",
"Ballarat Central","https://en.wikipedia.org/wiki/ABC_South_West_Victoria","ABC South West Victoria (call sign: 3WL) is an ABC Local Radio station based in Warrnambool, Victoria.","https://upload.wikimedia.org/wikipedia/commons/9/9f/Radio_svg_icon.svg","Ballarat Central.svg","Done","['https://upload.wikimedia.org/wikipedia/commons/9/9f/Radio_svg_icon.svg', 'https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg']",
"Rosana","https://en.wikipedia.org/wiki/Rosanna,_Victoria","Rosanna is a suburb of Melbourne, Victoria, Australia, 12 km north-east from Melbourne's Central Business District. Its local government area is the City of Banyule. At the 2011 Census, Rosanna had a population of 7,697.

Leafy Rosanna is on the fringe of the Yarra Valley green belt.","https://upload.wikimedia.org/wikipedia/en/2/2c/Shops_on_Lower_Plenty_Road%2C_Rosanna%2C_Victoria%2C_Australia.jpg","Rosana.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/e/e0/Silver_medal_america.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0c/Shooting_pictogram.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/86/Cycling_%28road%29_pictogram.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/Bronze_medal_america.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6b/Field_hockey_pictogram.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Canoeing_%28slalom%29_pictogram.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/86/Cycling_%28road%29_pictogram.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/Volleyball_%28indoor%29_pictogram.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Judo_pictogram.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8f/Athletics_pictogram.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/12/Gymnastics_%28artistic%29_pictogram.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/12/Wrestling_pictogram.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c1/Sailing_pictogram.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/16/Speed_skating_pictogram.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/02/Fencing_pictogram.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ea/Gold_medal_america.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c2/Boxing_pictogram.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/57/Rowing_pictogram.svg']",
"Viewbank","https://en.wikipedia.org/wiki/Viewbank,_Victoria","Viewbank is a suburb of Melbourne, Victoria, Australia, 15 km north-east of Melbourne's Central Business District. Its local government area is the City of Banyule. At the 2011 census, Viewbank had a population of 6,731.
The Yarra River and large tracts of the Yarra Valley Parkland run along one border of the suburb. The Plenty River forms Viewbank's eastern boundary, whilst its northern boundary is defined by Lower Plenty Road (a main road linking Heidelberg and Eltham). Viewbank's public schools are Viewbank Primary School and Viewbank College (formerly Rosanna East High School, merging with Banyule High School in 1994). Viewbank's many parks include Banyule Flats (which includes one of inner Melbourne's largest intact wetlands), Viewbank Reserve, Price Park and Castleton Park.
Although mainly a residential area, there is a small commercial strip on Martins Lane adjacent to Viewbank Primary School.","https://upload.wikimedia.org/wikipedia/en/c/c3/Viewbank_College_Logo.png","Viewbank.png","Done","['https://upload.wikimedia.org/wikipedia/en/c/c3/Viewbank_College_Logo.png', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Australia_Victoria_metropolitan_Melbourne_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Heidelberg Heights","https://en.wikipedia.org/wiki/Heidelberg_Heights,_Victoria","Heidelberg Heights is a suburb of Melbourne, Victoria, Australia, 13 km north-east of Melbourne's Central Business District. Its local government area is the City of Banyule. At the 2011 Census, Heidelberg Heights had a population of 6,388.","https://upload.wikimedia.org/wikipedia/commons/2/2c/Victoria_locator-MJC.png","Heidelberg Heights.png","Done","['https://upload.wikimedia.org/wikipedia/commons/2/2c/Victoria_locator-MJC.png', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Australia_Victoria_metropolitan_Melbourne_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Yallambie","https://en.wikipedia.org/wiki/Yallambie,_Victoria","Yallambie is a suburb of Melbourne, Victoria, Australia, 16 km north-east from Melbourne's Central Business District. Its local government area is the City of Banyule. At the 2011 census, Yallambie had a population of 4,129.
Yallambie is a residential suburb stretched between Greensborough Road to the west and the Plenty River on its east. Its southern border is Lower Plenty Road and Yallambie Road in the north.
The predominant feature in Yallambie is the Simpson Army Barracks. Originally known as the Watsonia Military Camp, it was set up during the Second World War.
Yallambie's residential population almost doubled when a large parcel of reserved land behind the barracks was converted to residential use following rationalisation of military facilities during the late 1980s.
Yallambie is home to the Federal Government agency Australian Radiation Protection and Nuclear Safety Agency (ARPANSA).
Yallambie has never had a post office of that name, however the Simpson Barracks Post Office opened on 31 March 1987, replacing the Macleod office open since 1923, and was closed in 1996. A Watsonia Military office was open from 1942 until 1946 and a Watsonia Camp office was open from 1948 until 1952.
Yallambie is also home to Streeton Primary School, which is a combination of 2 previous schools called Watsonia South Primary School & Yallambie Primary School which is located on the old Yallambie Primary School site. Streeton is named after well known artist Arthur Streeton. Yallambie's main pre-school facility is Yallambie Park Pre-School, which is located on the same road as Streeton Primary School. Most children that finish at Y.P.P.S go on to further their education at Streeton.

","https://upload.wikimedia.org/wikipedia/commons/2/2c/Victoria_locator-MJC.png","Yallambie.png","Done","['https://upload.wikimedia.org/wikipedia/commons/2/2c/Victoria_locator-MJC.png', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Australia_Victoria_metropolitan_Melbourne_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Benalla","https://en.wikipedia.org/wiki/Winton,_Victoria","Winton is a town near Benalla, Victoria, Australia. The town of Winton was proclaimed on 25 February 1861. At the 2011 census, Winton had a population of 188.
It is located within 50 km of some of the wineries of the North East of Victoria, as well as being close to other local attractions including Glenrowan, the site of the famous Bushranger Ned Kellys last stand. It is home to the Winton Motor Raceway.

","https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png","Benalla.png","Done","['https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png', 'https://upload.wikimedia.org/wikipedia/commons/a/a6/Australia_Victoria_Benalla_RC_location_map.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a6/Australia_Victoria_Benalla_RC_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Tamnick","null","null","null","null","null","null",
"Devenish","https://en.wikipedia.org/wiki/Devenish,_Victoria","Devenish is a town in northern Victoria, Australia within the Rural City of Benalla local government area, 230 kilometres (143 mi) north of the state capital, Melbourne. At the 2011 census, Devenish and the surrounding area had a population of 360.","https://upload.wikimedia.org/wikipedia/commons/2/2b/Devenish_Main_Street_002.JPG","Devenish.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/2/2b/Devenish_Main_Street_002.JPG', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png', 'https://upload.wikimedia.org/wikipedia/commons/a/a6/Australia_Victoria_Benalla_RC_location_map.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a6/Australia_Victoria_Benalla_RC_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Goorambat","https://en.wikipedia.org/wiki/Goorambat,_Victoria","Goorambat /ˈɡʊərəmbæt/ is a town in northern Victoria, Australia. The town is located in the Rural City of Benalla local government area, 229 kilometres (142 mi) north of the state capital, Melbourne. At the 2011 census, Goorambat and the surrounding area had a population of 347.","https://upload.wikimedia.org/wikipedia/commons/9/90/GoorambatRailwayHotel.JPG","Goorambat.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/9/90/GoorambatRailwayHotel.JPG', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png', 'https://upload.wikimedia.org/wikipedia/commons/a/a6/Australia_Victoria_Benalla_RC_location_map.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a6/Australia_Victoria_Benalla_RC_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Aberfeldy","https://en.wikipedia.org/wiki/Aberfeldy,_Victoria","Aberfeldy is a small town in Victoria, Australia on Mount Lookout, northeast of the Thomson Dam, 125 kilometres (78 mi) east of Melbourne.
The area was settled in 1871 following the discovery of gold.
The first Post Office opened on 1 January 1872  but later closed in 1967.
The town was surveyed and proclaimed in 1885. It was initially known as Mount Lookout but was eventually renamed after the Scottish town of Aberfeldy. At its peak, the township had a population of around 500. After the gold rush the town was used for sheep and cattle grazing and for the production of potatoes and other crops.
Following the First World War, the population diminished although the town managed to survive. The town hotel was burned down in 1938 and the Black Friday bush-fires of 1939 destroyed many of the buildings in the town. A road was built to Matlock by 1950 but it was not maintained properly and fell to ruin.
The town was home to Kitty Cane, a former dancer and mining investor who owned a successful shanty on Walhalla-Wood's Point Road. When Cane died, her loyal customers and the local miners decided to carry her coffin to the Aberfeldy cemetery. Since Cane was an unusually large woman and because the miners were intoxicated, the coffin never made it to the cemetery and instead the miners buried her alongside the road. When travelling from The Thomson Dam to Aberfeldy, Kitty Cane's grave is about 1 kilometre (0.6 mi) after the Cast Iron Point lookout and on the left hand side of the road.
Today there is only one permanent resident, historian Grahame Code (who has lived in the area for 50 years), and his family, although there is several holiday homes which are occupied on some weekends, land was released for public sale in 1999. Remains of former buildings are still visible.","https://upload.wikimedia.org/wikipedia/commons/6/60/BigBellHotel2009.jpg","Aberfeldy.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/6/60/BigBellHotel2009.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4c/Aberfeldy_Walhalla_Road.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png', 'https://upload.wikimedia.org/wikipedia/commons/9/93/Australia_Victoria_Shire_of_Baw_Baw_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Athlone","https://en.wikipedia.org/wiki/Athlone,_Victoria","Athlone is a small town in Victoria, Australia. It is located on Drouin - Korumburra Road, in the Shire of Baw Baw.
The Post Office opened in 1902 as Lindermann's, was renamed Athlone in 1912 and closed in 1963.","https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png","Athlone.png","Done","['https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png', 'https://upload.wikimedia.org/wikipedia/commons/9/93/Australia_Victoria_Shire_of_Baw_Baw_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Buln Buln","https://en.wikipedia.org/wiki/Buln_Buln,_Victoria","Buln Buln is a small town in West Gippsland, approximately 8 kilometres north of Warragul. At the 2011 census, Buln Buln had a population of 567, overwhelmingly born in Australia.","https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png","Buln Buln.png","Done","['https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png', 'https://upload.wikimedia.org/wikipedia/commons/9/93/Australia_Victoria_Shire_of_Baw_Baw_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Darnum","https://en.wikipedia.org/wiki/Darnum,_Victoria","Darnum is a small town in West Gippsland, Victoria, Australia, located 110 km east of Melbourne, in the Shire of Baw Baw. At the 2006 census the town and surrounding area had a population of 598.
The Post Office opened on 1 December 1882 after the arrival of the railway.
Darnum was originally a timber producing town and boasts a large stump in memory of the original timber mill's owner Clarrie Weir. Today the principal industry is dairy farming, with Fonterra, previously Bonlac Foods, operating a milk processing plant just north of town. Darnum is also home to the Darnum Musical Village, a collection of musical instruments, where visitors can experience playing some of the exhibits as tour guides explain the history of different pieces.
The town in conjunction with neighbouring township Nilma has an Australian Rules football team competing in the Ellinbank & District Football League. Mal Michael is a notable player for the team.","https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png","Darnum.png","Done","['https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png', 'https://upload.wikimedia.org/wikipedia/commons/9/93/Australia_Victoria_Shire_of_Baw_Baw_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Brighton","https://en.wikipedia.org/wiki/Brighton_East,_Victoria","Brighton East is a suburb in Melbourne, Victoria, Australia, 11 km south-east from Melbourne's central business district. Its local government area is the City of Bayside. At the 2011 census, Brighton East had a population of 15,814.
Brighton East lies further inland from the coast of Port Philip Bay than Brighton, its affluent, neighbouring community to the west. Its boundaries are Nepean Highway in the northwest, North Road in the north, Thomas Street in the east, Nepean Highway in the southeast, South Road in the south, and Hampton Street in the west.
Brighton East is known for its spacious parklands, most notably Dendy Park, one of Victoria's 10 biggest parks and outdoor recreation areas, Hurlingham Park, and Landcox Park.","https://upload.wikimedia.org/wikipedia/commons/2/2c/Victoria_locator-MJC.png","Brighton.png","Done","['https://upload.wikimedia.org/wikipedia/commons/2/2c/Victoria_locator-MJC.png', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Australia_Victoria_metropolitan_Melbourne_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg']",
